currentPrice,dirtyTicketInd,listingId,listingPrice,quantity,retrieveTime,row,score,seatNumbers,sectionId,sectionName,sellerSectionName,zoneId,zoneName,Event,Date
74.48,FALSE,1314793988,59.98,4,3/18/18 0:58,11,0,3;4;5;6,30179,Mezzanine Goal 204,UPPER:204,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.49,FALSE,1311214197,59.99,2,3/18/18 0:58,13,0,17;18,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314389108,60,2,3/18/18 0:58,15,0,15;16,30188,Mezzanine Goal 209A,UPPER:209A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314605819,60,2,3/18/18 0:58,10,0,16;17,30198,Mezzanine Goal 220,UPPER:220,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314718495,60,2,3/18/18 0:58,11,0,9;10,30175,Mezzanine Center 214,UPPER:214,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314652810,60,2,3/18/18 0:58,5,0,5;6,30194,Mezzanine Goal 217A,UPPER:217A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314635831,60,2,3/18/18 0:58,3,0,5;6,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1292374942,60,2,3/18/18 0:58,4,0,1;2,30197,Mezzanine Goal 219A,UPPER:219A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1313893319,60,2,3/18/18 0:58,3,0,3;4,30196,Mezzanine Goal 219,UPPER:219,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1314781389,60,2,3/18/18 0:58,9,0,9;10,30201,Mezzanine Goal 222,UPPER:222,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1313942782,60,2,3/18/18 0:58,8,0,15;16,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
74.5,FALSE,1312986232,60,2,3/18/18 0:58,12,0,5;6,30171,Mezzanine Center 203,UPPER:203,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
75.53,FALSE,1313379312,60.86,2,3/18/18 0:58,11,0,1;2,30186,Mezzanine Goal 208,UPPER:208,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
76.9,FALSE,1313430639,62,2,3/18/18 0:58,14,0,7;8,30183,Mezzanine Goal 206,UPPER:206,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
76.9,FALSE,1314718492,62,2,3/18/18 0:58,2,0,13;14,30200,Mezzanine Goal 221A,UPPER:221A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
78.1,FALSE,1314465057,63,2,3/18/18 0:58,11,0,18;19,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
79.3,FALSE,1314305919,64,2,3/18/18 0:58,11,0,3;4,30200,Mezzanine Goal 221A,UPPER:221A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
79.3,FALSE,1312726388,64,3,3/18/18 0:58,11,0,NA,30185,Mezzanine Goal 207A,UPPER:207A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
79.3,FALSE,1312506239,64,3,3/18/18 0:58,11,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
79.3,FALSE,1314137204,64,4,3/18/18 0:58,13,0,NA,30184,Mezzanine Goal 207,UPPER:207,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
79.3,FALSE,1314292506,64,4,3/18/18 0:58,7,0,NA,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314478790,65,2,3/18/18 0:58,13,0,6;7,30175,Mezzanine Center 214,UPPER:214,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314688617,65,2,3/18/18 0:58,7,0,1;2,30193,Mezzanine Goal 217,UPPER:217,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314106626,65,2,3/18/18 0:58,2,0,13;14,30194,Mezzanine Goal 217A,UPPER:217A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314345134,65,2,3/18/18 0:58,3,0,1;2,30187,Mezzanine Goal 209,UPPER:209,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314758982,65,1,3/18/18 0:58,14,0,11,30175,Mezzanine Center 214,UPPER:214,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314050092,65,2,3/18/18 0:58,12,0,3;4,30192,Mezzanine Goal 216A,UPPER:216A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
80.5,FALSE,1314034346,65,2,3/18/18 0:58,12,0,11;12,30174,Mezzanine Center 213,UPPER:213,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
81.7,FALSE,1314597886,66,2,3/18/18 0:58,12,0,15;16,30178,Mezzanine Center 224,UPPER:224,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
82.9,FALSE,1314708961,67,2,3/18/18 0:58,8,0,NA,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
83.5,FALSE,1313396328,67.5,2,3/18/18 0:58,13,0,15;16,30173,Mezzanine Center 212,UPPER:212,7746,Mezzanine Center,Washington Capitals 3/18/2018,3/18/18
84.1,FALSE,1314655159,68,3,3/18/18 0:58,14,0,11;12;13,30182,Mezzanine Goal 205A,UPPER:205A,7747,Mezzanine Goal,Washington Capitals 3/18/2018,3/18/18
